id,idade,curso,semestre,turno,experiencia_previa,distancia_km,tipo_instituicao,perfil_comportamental,feedback_entrevista,nota_prova_tecnica,churn
55,21.0,2,6.0,2,0,24.9,0,3,3,9.7,0
56,25.0,2,1.0,2,1,9.3,0,2,2,6.3,1
57,23.0,4,7.0,1,1,1.0,1,1,0,5.6,0
58,21.0,4,7.0,1,1,0.9,1,2,0,5.5,0
59,25.0,4,3.0,2,1,24.1,0,3,0,9.0,0
60,21.0,0,8.0,2,0,6.6,1,1,3,6.2,0
61,23.0,2,2.0,0,1,1.1,0,2,1,7.3,0
62,23.0,0,6.0,2,0,8.8,1,3,1,9.5,0
63,22.0,2,1.0,1,1,11.8,0,0,1,6.3,0
64,25.0,4,2.0,2,0,5.3,0,3,0,6.3,0
65,23.0,0,6.0,1,1,1.2,1,2,0,6.2,0
66,22.0,2,5.0,1,0,4.2,1,2,0,6.9,0
67,23.0,2,1.0,1,1,19.3,1,1,3,7.1,0
68,24.0,2,5.0,0,1,11.7,0,0,0,8.6,0
69,25.0,4,1.0,2,1,17.3,1,3,3,5.2,0
70,21.0,2,4.0,1,1,18.1,1,2,0,4.9,0
71,23.0,2,2.0,2,1,18.1,0,3,2,6.0,1
72,22.0,2,8.0,2,1,14.2,0,2,0,5.3,0
73,23.0,0,4.0,0,1,27.7,1,2,1,9.6,1
74,21.0,0,2.0,2,1,2.7,0,3,1,9.0,0
75,18.0,2,6.0,2,1,5.8,1,0,0,7.4,0
76,23.0,0,8.0,2,1,10.3,1,3,0,6.9,0
77,22.0,1,4.0,2,0,17.0,0,1,3,9.6,1
78,23.0,2,6.0,1,0,7.9,0,1,1,9.8,0
79,24.0,4,7.0,1,0,24.2,0,1,1,6.1,1
80,22.0,0,8.0,1,0,21.7,0,3,0,6.2,0
81,22.0,1,4.0,1,1,8.3,0,2,3,5.0,0
82,18.0,0,5.0,1,0,23.0,1,3,1,8.1,1
83,18.0,1,8.0,1,0,4.2,1,2,2,5.5,1
84,23.0,1,4.0,0,1,12.8,0,2,1,7.2,0
85,21.0,1,5.0,1,1,28.6,0,3,1,8.3,1
86,23.0,2,1.0,0,1,26.8,0,0,1,5.1,1
87,18.0,3,2.0,2,1,15.0,1,2,3,8.4,0
88,22.0,2,5.0,2,0,2.9,0,3,0,9.6,0
89,24.0,2,6.0,0,0,26.1,1,0,1,9.3,1
90,19.0,3,5.0,1,1,23.6,1,3,3,6.6,0
91,25.0,1,3.0,0,1,19.4,0,2,0,7.0,0
92,24.0,3,5.0,1,1,14.3,1,2,0,6.8,0
93,18.0,2,4.0,0,0,20.2,1,1,2,8.0,1
94,24.0,4,1.0,1,0,27.8,1,2,0,6.5,0
95,21.0,0,2.0,2,0,12.7,0,1,3,5.3,0
96,19.0,1,8.0,0,0,15.5,0,2,1,8.2,1
97,24.0,0,6.0,1,0,27.9,1,3,2,9.6,1
98,25.0,0,7.0,2,1,23.9,0,0,1,9.5,1
99,24.0,1,8.0,0,1,25.5,0,0,2,9.3,1
100,20.0,4,2.0,1,0,27.7,1,2,0,7.8,0
101,22.0,1,7.0,2,0,1.0,0,3,3,6.6,0
102,20.0,2,6.0,2,0,29.0,0,0,1,6.2,1
103,24.0,4,4.0,2,0,23.9,0,3,1,8.6,1
104,21.0,0,8.0,2,0,9.2,1,1,1,9.7,0
105,25.0,1,3.0,1,0,12.4,0,3,2,4.9,1
106,22.0,3,6.0,1,1,19.8,1,0,2,9.3,1
107,23.0,3,1.0,2,1,16.3,1,3,1,5.4,1
108,21.0,0,2.0,2,1,4.6,1,3,1,6.1,0
109,24.0,4,2.0,2,0,18.1,1,3,1,7.4,1
110,19.0,4,1.0,1,0,2.1,0,1,3,4.9,0
111,24.0,2,5.0,2,1,7.9,1,0,1,7.2,0
112,18.0,2,4.0,2,1,5.6,0,0,0,7.8,0
113,25.0,0,4.0,1,1,14.0,0,0,1,6.2,0
114,21.0,0,5.0,0,1,13.2,1,0,0,5.8,0
115,18.0,1,2.0,2,1,22.8,0,3,0,7.7,0
116,20.0,3,3.0,0,0,27.4,0,0,0,9.4,0
117,22.0,3,4.0,2,0,26.6,1,3,0,7.5,0
118,24.0,1,2.0,2,1,24.4,1,3,0,8.5,0
119,21.0,2,7.0,1,1,8.6,0,1,3,5.5,0
120,22.0,2,6.0,1,0,9.2,1,1,0,8.3,0
121,22.0,0,3.0,1,0,3.8,1,1,0,7.5,0
122,23.0,2,4.0,2,1,5.7,1,2,2,6.1,1
123,19.0,2,6.0,1,1,21.1,0,0,0,6.9,0
124,23.0,0,8.0,1,1,20.7,1,1,1,7.5,1
125,20.0,4,1.0,0,1,3.3,1,1,3,4.8,0
126,18.0,4,7.0,2,0,17.9,0,3,1,9.2,1
127,23.0,2,4.0,2,0,17.0,1,0,1,9.2,1
128,24.0,3,7.0,2,1,26.1,1,3,0,6.1,0
129,19.0,1,7.0,1,0,7.0,0,1,2,8.9,1
130,20.0,4,5.0,1,0,1.8,1,0,0,4.5,0
131,18.0,1,4.0,0,0,17.4,1,2,0,9.6,1
132,19.0,2,7.0,0,1,28.2,1,3,0,4.4,0
133,20.0,1,3.0,2,1,12.9,0,1,2,8.4,1
134,20.0,0,5.0,1,1,20.1,1,3,0,4.3,0
135,24.0,1,3.0,2,0,5.6,1,0,0,7.5,0
136,20.0,3,1.0,0,1,8.8,0,3,0,5.2,0
137,23.0,2,3.0,2,0,8.0,0,0,1,9.7,0
138,18.0,4,1.0,2,0,28.8,1,2,2,9.8,1
139,22.0,2,5.0,2,0,7.1,0,1,3,4.6,0
140,21.0,0,1.0,1,1,16.2,1,3,1,5.1,1
141,25.0,3,5.0,2,0,28.3,1,0,0,6.2,0
142,24.0,1,1.0,2,0,10.1,0,0,3,10.0,1
143,22.0,1,5.0,2,0,17.7,1,1,1,9.5,1
144,20.0,2,6.0,0,0,24.4,0,0,2,5.7,1
145,23.0,4,4.0,2,1,8.4,0,0,0,4.8,0
146,23.0,4,3.0,1,0,4.3,1,3,1,5.8,0
147,20.0,1,4.0,0,1,4.1,1,0,0,5.4,0
148,20.0,4,7.0,0,0,8.4,0,1,1,5.9,0
149,20.0,4,2.0,1,1,3.1,0,0,2,8.5,1
150,24.0,1,7.0,0,1,9.6,0,3,1,8.4,0
151,21.0,3,7.0,2,1,1.8,1,1,0,6.8,0
152,24.0,3,3.0,0,0,1.6,0,0,0,7.7,0
153,20.0,1,2.0,2,0,15.1,0,3,2,9.6,1
154,20.0,0,2.0,2,0,19.1,0,1,0,7.8,0
155,18.0,4,6.0,1,0,3.2,1,1,0,6.8,0
156,25.0,4,1.0,2,1,4.8,0,1,3,8.7,0
157,21.0,0,7.0,0,0,1.9,1,3,0,8.2,0
158,23.0,2,5.0,2,1,1.9,0,2,3,9.1,0
159,20.0,1,6.0,0,0,4.8,1,1,0,4.5,0
160,18.0,3,6.0,0,0,21.8,1,3,0,7.6,0
161,22.0,3,3.0,0,1,13.0,0,0,0,6.9,0
162,25.0,1,1.0,2,1,16.2,1,1,0,7.9,0
163,25.0,4,3.0,0,0,6.6,0,1,1,8.4,0
164,21.0,2,4.0,1,1,4.5,1,0,1,8.9,0
165,20.0,3,6.0,0,1,25.2,1,0,3,4.2,0
166,20.0,2,5.0,2,1,12.7,0,0,2,7.8,1
167,18.0,2,8.0,0,1,13.2,0,1,0,4.2,0
168,20.0,4,6.0,0,0,23.7,1,0,1,8.5,1
169,19.0,0,1.0,2,0,5.9,0,3,1,9.4,0
170,18.0,3,8.0,1,1,16.9,1,3,0,4.6,0
171,20.0,1,4.0,0,0,0.9,0,3,0,7.7,0
172,24.0,2,7.0,0,0,2.2,1,0,2,6.4,1
173,18.0,4,6.0,0,0,12.5,1,3,3,8.5,0
174,24.0,2,8.0,0,1,7.2,1,0,0,9.9,0
175,22.0,0,2.0,1,0,8.7,1,1,0,6.3,0
176,23.0,0,6.0,0,0,14.5,1,3,3,5.0,0
177,24.0,1,5.0,1,0,8.6,1,3,3,4.6,1
178,19.0,0,6.0,0,0,22.9,0,2,3,8.0,0
179,25.0,1,3.0,0,1,7.2,1,1,1,8.3,0
180,19.0,2,5.0,1,0,4.6,0,0,0,9.2,0
181,23.0,0,8.0,0,1,19.9,0,1,3,7.9,0
182,19.0,3,6.0,2,1,12.1,0,0,1,4.0,0
183,23.0,1,8.0,0,1,14.9,0,0,0,6.9,0
184,18.0,1,7.0,0,0,17.8,1,3,1,8.7,1
185,25.0,4,3.0,0,1,18.7,0,0,3,7.8,0
186,20.0,2,3.0,0,1,1.0,1,1,0,8.9,0
187,25.0,0,8.0,1,0,4.6,0,0,3,6.1,0
188,20.0,4,5.0,1,1,12.0,0,1,0,4.5,0
189,23.0,2,1.0,2,0,15.4,1,1,1,8.9,1
190,18.0,3,2.0,1,0,11.9,0,1,3,4.7,0
191,20.0,0,5.0,2,0,7.8,0,0,0,5.4,0
192,22.0,4,2.0,1,1,24.7,0,2,1,6.5,1
193,18.0,1,4.0,1,0,1.1,0,3,0,5.1,0
194,23.0,2,4.0,0,1,12.7,1,0,1,7.7,0
195,22.0,4,6.0,0,0,11.2,1,0,2,5.0,1
196,25.0,0,1.0,0,1,20.7,1,2,0,7.3,0
197,25.0,1,7.0,2,0,28.7,0,3,1,8.5,1
198,20.0,1,3.0,0,0,6.0,0,1,1,4.7,1
199,19.0,2,1.0,2,1,5.9,1,2,1,9.2,0
200,22.0,3,4.0,2,0,3.9,1,0,0,9.6,0
201,18.0,0,5.0,0,1,7.0,0,0,0,6.3,0
202,25.0,3,1.0,0,1,2.9,1,1,0,6.2,0
203,18.0,3,8.0,2,0,8.3,1,3,1,4.7,0
204,18.0,3,6.0,1,0,18.7,1,0,2,8.2,1
205,23.0,4,5.0,2,1,20.3,0,0,3,5.9,0
206,21.0,4,1.0,1,1,1.8,0,0,3,7.2,0
207,20.0,0,5.0,0,1,18.7,0,0,1,6.9,1
208,20.0,2,6.0,1,1,9.8,1,0,2,8.4,1
209,21.0,2,6.0,0,1,12.8,1,3,1,5.4,0
210,23.0,1,8.0,1,0,4.7,1,2,0,9.6,0
211,24.0,1,2.0,1,0,18.2,1,3,1,9.4,1
212,19.0,2,8.0,1,0,7.4,0,2,3,6.3,0
213,25.0,4,2.0,0,1,25.2,0,3,0,9.4,0
214,25.0,1,5.0,0,1,9.0,0,1,1,5.1,0
215,19.0,0,7.0,2,1,24.1,1,0,0,8.2,0
216,21.0,0,3.0,0,0,9.8,0,2,2,8.8,1
217,20.0,1,6.0,0,1,11.0,1,0,1,4.8,0
218,21.0,0,4.0,1,1,10.3,1,0,0,5.3,0
219,24.0,2,6.0,2,0,16.4,0,3,0,7.8,0
220,22.0,1,3.0,0,0,1.5,1,0,3,5.5,0
221,25.0,3,7.0,0,1,3.8,1,0,1,7.7,0
222,19.0,4,3.0,0,0,16.4,1,3,2,6.1,1
223,22.0,0,4.0,1,0,29.0,0,2,3,9.5,0
224,20.0,3,4.0,1,1,1.5,0,3,0,4.2,0
225,24.0,2,1.0,1,1,29.1,0,3,3,8.8,0
226,19.0,1,2.0,0,0,25.6,0,2,0,4.5,1
227,23.0,4,7.0,0,1,19.0,1,0,0,6.8,0
228,25.0,3,6.0,0,1,20.9,0,3,1,6.5,1
229,23.0,0,7.0,2,1,7.6,1,1,2,4.1,1
230,23.0,3,2.0,2,0,1.4,0,2,0,6.5,0
231,20.0,0,5.0,2,1,22.7,0,0,1,9.8,1
232,25.0,3,3.0,2,1,16.8,0,1,1,5.8,1
233,21.0,3,4.0,1,0,25.1,1,0,2,7.3,1
234,22.0,0,6.0,1,1,12.7,0,0,1,9.6,0
235,23.0,1,8.0,0,0,1.9,1,3,1,6.1,1
236,23.0,1,6.0,2,1,14.8,0,2,2,8.9,1
237,22.0,4,5.0,0,0,3.1,1,3,2,5.5,1
238,23.0,1,5.0,1,1,25.8,0,0,0,9.2,0
239,18.0,4,5.0,1,0,27.0,0,2,2,9.8,1
240,23.0,3,5.0,1,1,1.2,0,1,1,7.2,0
241,18.0,0,3.0,0,0,23.0,0,1,1,9.7,1
242,25.0,0,4.0,0,0,8.9,1,0,2,7.6,1
243,21.0,0,6.0,2,0,17.8,0,3,2,9.6,1
244,19.0,1,4.0,2,0,20.2,1,2,3,7.9,1
245,24.0,0,2.0,0,0,13.5,1,0,2,8.0,1
246,21.0,2,7.0,0,0,5.9,0,2,1,7.2,0
247,23.0,0,6.0,1,0,26.8,1,0,0,4.4,0
248,22.0,4,8.0,1,1,0.5,0,0,3,6.9,0
249,22.0,0,2.0,0,1,20.0,1,1,3,9.6,0
250,18.0,1,8.0,2,1,23.3,0,2,1,8.5,1
251,20.0,0,3.0,1,1,2.5,0,3,0,8.1,0
252,23.0,0,4.0,2,0,1.5,1,3,2,6.8,1
253,25.0,4,6.0,2,0,8.2,1,0,1,9.1,0
254,23.0,0,5.0,2,0,27.4,0,3,2,4.8,1
255,18.0,3,7.0,0,0,29.0,0,0,1,6.1,1
256,25.0,4,2.0,1,1,11.3,1,2,1,8.7,0
257,18.0,3,2.0,2,1,11.9,0,2,0,4.6,0
258,22.0,3,5.0,1,1,21.2,1,3,0,6.2,0
259,25.0,4,2.0,2,1,2.8,0,2,1,10.0,0
260,23.0,0,2.0,2,1,27.7,1,2,0,8.8,0
261,24.0,1,7.0,1,1,17.6,1,0,1,7.4,1
262,22.0,1,3.0,1,0,14.0,1,1,1,8.0,1
263,18.0,4,7.0,2,1,29.5,0,3,1,7.0,1
264,24.0,3,5.0,0,1,11.3,1,0,2,4.7,1
265,23.0,2,6.0,0,0,8.1,0,2,0,5.1,0
266,21.0,0,1.0,2,0,26.1,1,1,0,9.9,0
267,25.0,2,4.0,2,0,5.0,1,2,2,6.9,1
268,21.0,1,8.0,0,1,14.6,1,0,1,4.6,0
269,23.0,2,4.0,1,0,22.3,1,3,1,7.2,1
270,24.0,1,1.0,0,1,3.2,0,3,3,7.7,0
271,20.0,2,5.0,1,0,12.2,1,1,1,9.3,0
272,22.0,0,8.0,2,0,4.8,0,3,0,7.5,0
273,24.0,2,3.0,2,1,2.6,1,0,3,6.5,0
274,19.0,2,7.0,0,0,3.1,1,3,3,7.3,0
275,25.0,1,8.0,2,0,25.3,0,0,1,6.7,1
276,24.0,3,7.0,0,1,0.6,0,1,3,9.1,0
277,18.0,0,4.0,0,0,4.0,1,0,1,5.9,0
278,21.0,0,1.0,0,0,17.2,0,3,1,4.8,1
279,22.0,0,8.0,0,0,16.7,0,0,3,8.1,0
280,20.0,1,3.0,1,0,13.3,1,0,1,9.0,1
281,21.0,4,3.0,1,0,25.4,0,3,1,8.2,1
282,24.0,3,6.0,2,0,3.9,0,3,1,4.9,0
283,20.0,0,4.0,1,0,6.3,0,0,0,4.6,0
284,25.0,2,8.0,2,1,3.3,1,2,3,4.0,0
285,21.0,4,5.0,1,1,3.5,0,0,2,5.1,1
286,19.0,4,4.0,1,1,14.0,1,1,1,5.4,0
287,20.0,2,6.0,1,0,21.5,0,3,1,6.1,1
288,20.0,3,1.0,0,0,27.0,1,3,3,9.2,0
289,24.0,1,1.0,1,1,2.7,1,1,1,9.9,0
290,25.0,1,5.0,1,1,19.5,1,2,3,7.8,0
291,23.0,0,2.0,2,0,20.3,0,0,3,9.8,0
292,24.0,3,4.0,0,1,24.9,0,3,3,4.1,0
293,18.0,2,4.0,1,1,19.8,0,3,2,4.8,1
294,20.0,2,8.0,0,1,18.5,1,2,0,7.4,0
295,21.0,1,1.0,1,0,25.2,1,2,0,9.1,1
296,23.0,4,5.0,0,1,2.2,1,3,1,8.3,0
297,19.0,3,3.0,1,0,6.2,0,0,2,5.1,1
298,21.0,4,4.0,1,1,24.5,0,2,0,5.3,0
299,19.0,2,5.0,2,1,24.9,0,1,1,8.0,1
300,21.0,4,6.0,0,1,18.9,1,0,2,4.3,1
301,25.0,3,5.0,0,1,18.0,0,1,1,9.5,1
302,24.0,1,4.0,0,0,4.3,1,0,1,8.7,1
303,21.0,2,7.0,1,0,12.4,1,3,0,8.3,0
304,23.0,2,1.0,1,0,29.6,0,3,2,9.1,1
305,20.0,4,5.0,1,1,21.3,1,1,2,5.8,1
306,24.0,0,2.0,0,1,10.1,1,3,0,9.3,0
307,18.0,3,4.0,1,1,13.0,0,0,1,5.7,0
308,24.0,1,6.0,1,1,19.8,1,1,0,9.7,0
309,20.0,4,2.0,0,1,19.1,0,1,2,5.3,1
310,24.0,1,6.0,2,0,5.2,1,3,1,6.7,1
311,25.0,4,8.0,1,0,3.1,1,1,0,7.7,0
312,20.0,4,2.0,2,0,16.1,0,3,0,8.2,0
313,21.0,0,3.0,2,0,26.3,1,1,0,9.9,0
314,24.0,3,4.0,0,0,27.4,0,3,3,7.7,0
315,21.0,2,7.0,1,1,8.9,1,0,1,9.8,0
316,25.0,0,3.0,1,0,26.8,0,3,0,6.7,0
317,24.0,4,1.0,2,0,1.1,0,0,1,8.7,0
318,25.0,4,8.0,2,0,18.3,1,2,0,8.4,0
319,21.0,4,6.0,0,0,22.3,0,3,1,4.3,1
320,25.0,1,1.0,1,0,4.6,0,0,2,6.1,1
321,19.0,3,5.0,0,0,2.1,0,0,1,5.4,0
322,23.0,1,7.0,0,0,28.1,0,0,3,6.2,1
323,20.0,0,3.0,2,1,2.8,0,1,0,7.4,0
324,23.0,1,2.0,2,1,7.7,0,0,3,9.3,0
325,19.0,1,4.0,1,0,14.7,0,2,0,5.6,1
326,24.0,0,8.0,2,1,14.8,0,3,1,4.9,0
327,18.0,1,4.0,2,0,29.5,0,3,2,9.3,1
328,25.0,3,7.0,2,1,0.6,1,3,0,6.6,0
329,23.0,4,2.0,0,0,16.3,1,3,3,6.9,0
330,22.0,4,7.0,2,1,20.6,0,2,1,5.4,1
331,22.0,3,5.0,0,0,20.9,0,1,0,6.7,0
332,18.0,4,7.0,2,1,7.2,1,1,0,8.3,0
333,25.0,0,6.0,2,0,27.7,0,2,1,8.4,1
334,20.0,4,3.0,0,0,2.6,0,3,2,7.2,1
335,21.0,3,7.0,1,1,12.7,0,0,1,6.2,0
336,21.0,0,7.0,0,0,29.4,0,1,1,7.8,1
337,24.0,4,3.0,1,1,5.8,0,2,1,6.5,0
338,21.0,3,3.0,2,1,19.1,0,1,0,6.5,0
339,23.0,1,6.0,1,1,3.9,0,0,0,6.1,0
340,25.0,2,2.0,0,0,7.1,1,1,1,6.7,0
341,22.0,0,5.0,0,0,7.9,1,2,0,4.5,0
342,25.0,3,6.0,0,0,12.0,1,0,2,6.7,1
343,18.0,4,4.0,2,1,5.1,0,1,1,9.7,0
344,18.0,4,8.0,1,1,10.3,0,3,2,8.4,1
345,20.0,1,1.0,0,1,29.7,1,1,1,5.2,1
346,21.0,1,2.0,2,1,25.9,0,3,0,5.7,0
347,21.0,3,7.0,0,0,22.9,1,2,1,5.8,1
348,21.0,1,5.0,0,1,29.3,0,3,1,8.8,1
349,20.0,1,8.0,2,1,13.1,0,3,1,5.0,0
350,23.0,4,2.0,2,0,5.0,1,2,0,6.7,0
351,20.0,0,2.0,1,0,2.1,1,0,0,4.1,0
352,19.0,3,1.0,2,1,22.9,1,2,0,6.7,0
353,19.0,0,8.0,2,0,7.2,1,3,3,7.4,0
354,19.0,4,3.0,2,1,7.9,1,3,2,5.1,1
355,24.0,4,8.0,0,1,23.1,1,0,1,5.5,1
356,19.0,0,5.0,1,0,9.6,0,0,3,8.4,0
357,25.0,0,8.0,1,0,14.8,1,2,0,5.0,0
358,25.0,3,2.0,0,1,17.8,1,2,2,8.1,1
359,22.0,2,7.0,1,1,20.6,0,2,0,7.9,0
360,23.0,2,4.0,1,1,2.4,1,2,0,6.4,0
361,18.0,1,6.0,0,1,14.5,0,2,2,4.6,1
362,20.0,4,2.0,1,1,27.5,0,0,0,4.9,0
363,25.0,0,1.0,0,1,12.5,1,3,1,8.1,0
364,23.0,4,1.0,1,1,22.8,0,0,2,4.8,1
365,19.0,2,4.0,1,1,23.6,1,2,3,7.1,0
366,20.0,1,3.0,2,1,10.7,0,2,2,8.0,1
367,25.0,4,3.0,1,0,20.0,1,1,1,8.9,1
368,19.0,1,7.0,1,1,26.6,0,0,2,4.1,1
369,23.0,0,3.0,0,0,1.7,0,0,2,8.0,1
370,24.0,3,6.0,0,1,13.5,0,0,0,5.7,0
371,24.0,1,4.0,1,0,14.6,0,2,3,9.1,1
372,25.0,2,3.0,2,0,15.0,1,0,3,5.6,0
373,25.0,4,4.0,1,1,26.1,0,3,3,5.8,0
374,21.0,3,4.0,2,0,16.9,0,1,0,9.7,0
375,23.0,1,7.0,1,1,10.8,1,0,0,7.5,0
376,23.0,4,2.0,1,1,11.3,0,0,2,5.7,1
377,22.0,3,6.0,1,0,21.0,1,2,0,5.3,0
378,24.0,0,4.0,1,1,27.9,0,1,2,6.6,1
379,23.0,1,2.0,2,0,18.6,1,2,1,5.7,1
380,18.0,4,6.0,2,1,7.4,1,3,1,9.4,0
381,20.0,2,5.0,1,0,6.5,0,0,0,8.2,0
382,21.0,3,3.0,2,0,17.2,1,2,1,8.7,1
383,20.0,3,1.0,2,1,3.4,0,3,0,8.5,0
384,18.0,2,6.0,1,1,18.2,0,2,2,5.2,1
385,24.0,0,7.0,1,1,12.2,1,0,2,7.1,1
386,19.0,2,3.0,0,0,28.1,0,0,0,5.6,0
387,20.0,0,4.0,1,0,9.8,0,1,0,6.5,0
388,21.0,3,3.0,1,0,4.1,0,0,1,8.9,0
389,20.0,3,3.0,1,1,16.5,0,2,2,4.1,1
390,20.0,0,5.0,2,1,27.9,1,1,2,9.8,1
391,25.0,1,5.0,1,0,7.7,1,3,0,4.5,0
392,19.0,0,3.0,1,0,18.1,1,0,2,7.3,1
393,25.0,0,7.0,2,0,26.0,1,2,0,7.9,0
394,24.0,0,2.0,1,0,4.9,1,1,1,6.1,0
395,24.0,3,4.0,2,1,21.4,0,3,1,7.3,1
396,21.0,4,8.0,2,1,7.0,0,3,1,9.4,0
397,22.0,0,5.0,1,1,23.1,0,3,0,5.2,0
398,24.0,4,1.0,2,0,27.7,0,2,1,6.9,1
399,24.0,3,8.0,2,0,13.3,0,2,2,8.5,1
400,25.0,2,5.0,2,1,20.9,1,3,0,7.9,0
401,24.0,1,6.0,1,0,21.3,0,2,1,4.7,1
402,21.0,4,4.0,0,0,4.8,1,2,1,6.5,0
403,24.0,1,5.0,2,1,13.2,0,2,3,9.5,0
404,24.0,3,2.0,0,1,27.1,1,2,1,6.0,1
405,22.0,1,1.0,2,1,23.9,0,3,0,5.5,0
406,24.0,3,2.0,2,1,16.0,1,0,3,6.1,0
407,24.0,2,8.0,1,0,16.0,0,3,2,5.1,1
408,19.0,2,4.0,1,1,5.3,1,2,0,5.3,0
409,19.0,1,5.0,2,0,25.0,1,1,0,6.2,1
410,21.0,0,7.0,1,1,10.0,1,1,1,4.6,0
411,24.0,2,4.0,2,0,20.1,1,3,2,9.7,1
412,25.0,1,3.0,1,1,27.4,0,2,1,6.1,1
413,21.0,4,6.0,2,0,4.0,0,1,2,6.1,1
414,18.0,0,5.0,0,1,1.9,0,2,1,7.2,0
415,23.0,4,1.0,1,1,11.7,0,1,3,8.7,0
416,18.0,4,8.0,1,1,21.3,0,1,1,6.9,1
417,20.0,0,1.0,0,1,4.3,1,2,2,8.3,1
418,20.0,0,8.0,2,1,5.2,0,3,0,6.7,0
419,25.0,4,3.0,2,0,18.2,1,0,1,7.0,1
420,18.0,2,6.0,2,0,12.7,1,0,3,7.7,0
421,25.0,3,7.0,2,0,21.7,1,0,0,9.3,0
422,24.0,4,2.0,0,1,4.3,0,2,0,5.5,0
423,20.0,3,1.0,1,0,28.9,0,0,2,7.0,1
424,18.0,4,4.0,1,1,12.6,1,0,3,4.4,0
425,18.0,0,8.0,2,1,8.8,1,1,1,6.2,0
426,24.0,0,7.0,1,0,14.8,1,2,3,9.0,0
427,23.0,4,6.0,2,1,26.1,1,1,2,4.4,1
428,19.0,2,6.0,0,0,6.4,1,1,1,6.1,0
429,25.0,3,3.0,1,0,15.8,1,2,1,8.5,1
430,20.0,4,4.0,2,1,8.6,1,3,0,8.8,0
431,21.0,4,5.0,0,0,26.9,1,3,0,7.4,0
432,24.0,4,1.0,0,1,15.6,1,2,3,4.8,0
433,20.0,1,1.0,2,0,19.8,0,1,0,4.1,1
